"group","subgroup","occupation","year","workforce"
"Service Occupations","Service Occupations","Healthcare Support Occupations","2016",198463
"Service Occupations","Service Occupations","Food Preparation & Serving Related Occupations","2016",242762
"Service Occupations","Service Occupations","Building & Grounds Cleaning & Maintenance Occupations","2016",177595
"Service Occupations","Service Occupations","Personal Care & Service Occupations","2016",213422
"Service Occupations","Protective Service Occupations","Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors","2016",70675
"Service Occupations","Protective Service Occupations","Law Enforcement Workers Including Supervisors","2016",37151
"Sales & Office Occupations","Sales & Office Occupations","Sales & Related Occupations","2016",406890
"Sales & Office Occupations","Sales & Office Occupations","Office & Administrative Support Occupations","2016",493743
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Farming, Fishing, & Forestry Occupations","2016",2283
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Construction & Extraction Occupations","2016",171336
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Installation, Maintenance, & Repair Occupations","2016",76555
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Production Occupations","2016",97157
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Transportation Occupations","2016",197380
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Material Moving Occupations","2016",51591
"Management, Business, Science, & Arts Occupations","Management, Business, & Financial Occupations","Management Occupations","2015",415400
"Management, Business, Science, & Arts Occupations","Management, Business, & Financial Occupations","Business & Financial Operations Occupations","2015",231176
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Computer & Mathematical Occupations","2015",104291
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Architecture & Engineering Occupations","2015",37983
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Life, Physical, & Social Science Occupations","2015",36662
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Community & Social Service Occupations","2015",84705
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Legal Occupations","2015",83491
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Education Instruction, & Library Occupations","2015",264243
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Arts, Design, Entertainment, Sports, & Media Occupations","2015",193386
"Management, Business, Science, & Arts Occupations","Healthcare Practitioners & Technical Occupations","Health Diagnosing & Treating Practitioners & Other Technical Occupations","2015",150434
"Management, Business, Science, & Arts Occupations","Healthcare Practitioners & Technical Occupations","Health Technologists & Technicians","2015",62433
"Service Occupations","Service Occupations","Healthcare Support Occupations","2015",189995
"Service Occupations","Service Occupations","Food Preparation & Serving Related Occupations","2015",250799
"Service Occupations","Service Occupations","Building & Grounds Cleaning & Maintenance Occupations","2015",180278
"Service Occupations","Service Occupations","Personal Care & Service Occupations","2015",199210
"Service Occupations","Protective Service Occupations","Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors","2015",74019
"Service Occupations","Protective Service Occupations","Law Enforcement Workers Including Supervisors","2015",39033
"Sales & Office Occupations","Sales & Office Occupations","Sales & Related Occupations","2015",394012
"Sales & Office Occupations","Sales & Office Occupations","Office & Administrative Support Occupations","2015",501014
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Farming, Fishing, & Forestry Occupations","2015",3635
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Construction & Extraction Occupations","2015",173761
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Installation, Maintenance, & Repair Occupations","2015",75737
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Production Occupations","2015",104538
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Transportation Occupations","2015",190415
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Material Moving Occupations","2015",51691
